set,training,validation,test
fold1,0.85,0.8,0.72
fold2,0.81,0.85,0.8
fold3,0.82,0.78,0.85
fold4,0.83,0.84,0.78
fold5,0.85,0.78,0.83
ave.,0.83,0.81,0.8
