set,training,validation,test
fold1,0.83,0.8,0.8
fold2,0.83,0.78,0.81
fold3,0.85,0.79,0.79
fold4,0.83,0.8,0.81
fold5,0.84,0.82,0.8
fold6,0.81,0.86,0.8
fold7,0.82,0.85,0.85
fold8,0.82,0.82,0.86
fold9,0.82,0.78,0.8
ave.,0.83,0.81,0.81
