set,training,validation,test
fold1,0.84,0.78,0.81
fold2,0.82,0.83,0.77
fold3,0.82,0.82,0.84
fold4,0.84,0.81,0.83
fold5,0.84,0.74,0.72
fold6,0.84,0.81,0.82
fold7,0.84,0.8,0.8
ave.,0.83,0.8,0.8
