set,training,validation,test
fold1,0.84,0.81,0.78
fold2,0.82,0.82,0.81
fold3,0.82,0.77,0.82
fold4,0.83,0.83,0.81
fold5,0.83,0.78,0.82
fold6,0.83,0.81,0.79
ave.,0.83,0.8,0.8
