set,training,validation,test
fold1,0.84,0.8,0.82
fold2,0.84,0.81,0.78
fold3,0.83,0.79,0.81
fold4,0.84,0.8,0.79
fold5,0.82,0.77,0.78
fold6,0.83,0.82,0.79
fold7,0.84,0.76,0.85
fold8,0.84,0.86,0.78
ave.,0.84,0.8,0.8
