set,training,validation,test
fold1,0.83,0.89,0.78
fold2,0.83,0.86,0.88
fold3,0.81,0.83,0.85
fold4,0.82,0.84,0.84
fold5,0.82,0.8,0.82
fold6,0.83,0.76,0.77
fold7,0.83,0.85,0.77
fold8,0.83,0.77,0.85
fold9,0.84,0.77,0.77
fold10,0.84,0.75,0.77
ave.,0.83,0.81,0.81
